manufactor,model,Price,Description,Cre_date,Repub_date,Year,Hand,Gear,capacity_Engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num
ניסאן,ניסאן מיקרה,54000.0,"שנת 2018, אוטומטהרכב במצב מעולה, מוכר עקב שדרוג,אני הוצאתי את הרכב מהחברה יד 00וגם היחיד שנוהג ברכב כל הזמן,ברכב קיימת מערכת מולטימדיה, ומערכת מובילאיי,כמובן שמטופל תמיד בזמן. רכב שמור מאוד.",2023-06-01,2023-06-01,2018,1,אוטומטית,1200,בנזין,102000,,שחור,פרטית,פרטית,זכרון - בנימינה,בנימינה גבעת עדה,0
ניסאן,ניסאן אלמרה,7000.0,מצב מכני מצוין.5 דלתות.קילומטרדי נמוך.כל הפרטים בטלפון.רכב מאוד אמין אפס תקלות.אשדוד תל אביב.,2023-05-23,2023-05-23,2023,2,אוטומטית,1800,בנזין,142000,,שחור,פרטית,פרטית,אשדוד - אשקלון,אשדוד,0
ניסאן,ניסאן סנטרה,125000.0,יד ראשונה 0 קמ.מחב אלבר.שמורה.מטופלת ללא תאונות,2023-03-05,2023-03-05,2020,1,אוטומטית,1300,בנזין,48000,,לבן,ליסינג,פרטית,מושבים בשרון,גן חיים,0
ניסאן,ניסאן אלמרה,7900.0,נמכר בצער.מקבל רכב חדש. שמור ומטופל. כולל חישני רוורסאחרי טיפול. לא בשבת.,2023-02-10,2023-02-10,2006,3,אוטומטית,1800,בנזין,209300,,אפור,פרטית,פרטית,יישובי השומרון,עלי,0
ניסאן,ניסאן מיקרה,49500.0,"תוספות				הוחלף מצבר חדש + 2 גלגלים",2023-01-30,2023-01-30,2018,1,אוטומטית,1200,בנזין,50000,,לבן,פרטית,פרטית,יישובי השומרון,שערי תקווה,0
ניסאן,ניסאן קווסט,23200.0,זה ניסאן קשקאי משום מה לא מופיע הרכב במצב מצויין ללא תקלות כלל גמיש מעט לרציניים,2023-01-16,2023-01-16,2010,5,אוטומטית,2000,בנזין,242000,,לבן,פרטית,פרטית,בית שמש והסביבה,בית שמש,0
ניסאן,ניסאן מיקרה,13000.0,"NISSAN MICRA 2008יד2 פרטית230ק״מטסט 4/22מצב מכני מצויין +תושבת מנוע הוחלפו, פן מזגן חדש,ברקסים חדשיםהנחות לחיילים,נהגים/ות חדשים,עולים חדשים‼️Скидки новым репатриантам‼️",2022-12-27,2022-12-27,2008,3,אוטומטית,1400,בנזין,230,,אפור מטאלי,פרטית,פרטית,נס ציונה - רחובות,רחובות,0
ניסאן,ניסאן ג'וק JUKE,41000.0,"למכירה ניסאן ג'וק 2014רכב שמור מאוד, מטופל במוסך מורשה, ללא תאונות, נקי, קילומטראז' נמוך 72,000מצבר חדש, טסט עד סוף אפריל 2023. יד : 4תיבת הילוכים : אוטומטסמ''ק : 1598",2022-12-14,2022-12-25,2014,4,אוטומטית,1600,בנזין,72000,,לבן,פרטית,פרטית,בית שמש והסביבה,בית שמש,0
ניסאן,ניסאן ג'וק JUKE,43000.0,"נמכר בעקבות קבלת רכב מהעבודה.רכב שמור מאוד, ללא תאונות, מטופל בזמן נהגת יחידה ברכב לשימוש עירוני 65,000 ק""מ בלבד יד 01 ברישיון",2022-12-16,2022-12-18,2013,2,אוטומטית,1600,בנזין,65000,,אפור מטאלי,פרטית,פרטית,גדרה יבנה והסביבה,יבנה,0
ניסאן,ניסאן אלמרה,5200.0,מעולה מצב מצוין נעילה מרכזית עם בקרת חלונות אוטומט הקודם זוכה קניתי רכב חדש לכן המחיר אפסי,2022-10-18,2022-11-13,2005,5,אוטומטית,1800,בנזין,265000,,אפור,פרטית,פרטית,ירושלים והסביבה,ירושלים,0
